StreetSuffix,Abbr1,Abbr2,Abbr3,Abbr4,Abbr5,Abbr6,Abbr7
Alberta,AB,Alta.,Alb.,Alta,Alb,,
British Columbia,BC,B.C.,C.-B.,C-B,,,
Manitoba,MB,Man.,Man,,,,
New Brunswick,NB,N.B.,N.-B.,N-B,,,
Newfoundland and Labrador,NL,N.L.,T.-N.-L.,T-N-L,,,
Northwest Territories,NT,N.T.,N.W.T.,T.N.-O.,NWT,TN-O,
Nova Scotia,NS,N.S.,N.-É.,N-É,,,
Nunavut,NU,Nvt.,Nt,Nvt,,,
Ontario,ON,Ont.,Ont,,,,
Prince Edward Island,PE,P.E.I.,Î.-P.-É.,Î-P-É,PEI,,
Quebec,QC,Que.,Que,,,,
Saskatchewan,SK,Sask.,Sask,,,,
Yukon,YT,Y.T.,Yn,,,,
