StreetSuffix,Abbr1,Abbr2,Abbr3,Abbr4,Abbr5,Abbr6,Abbr7
###,Comments can be added to this file as long as they are preceded by three hash characters and the same number of commas as a true record,,,,,,
Abbey,,,,,,,
Acres,,,,,,,
Allée,,,,,,,
Alley,Ally,Allee,Aly,Al,,,
Annex,Anex,Annx,Anx,,,,
Approach,App,,,,,,
Arcade,Arc,,,,,,
Avenue,Ave,Av,Avn,Avnue,Aven,Avenu,
Bay,Ba,,,,,,
Bayou,Bayoo,Byu,,,,,
Beach,Bch,,,,,,
Bend,Bnd,,,,,,
Bluff,Blf,Bluf,,,,,
Bluffs,Blfs,,,,,,
Boardwalk,Bwlk,,,,,,
Bottom,Bottm,Bot,Btm,,,,
Boulevard,Bvd,Boul,Boulv,Blvd,Bv,,
Bow,,,,,,,
Brae,,,,,,,
Branch,Brnch,Br,,,,,
Break,,,,,,,
Bridge,Brdge,Brg,,,,,
Broadway,,,,,,,
Brook,Brk,,,,,,
Brooks,Brks,,,,,,
Brow,,,,,,,
Burg,Bg,,,,,,
Burgs,Bgs,,,,,,
Butts,,,,,,,
Bypass,Bypa,Byp,Byps,,,,
Byway,,,,,,,
Camp,Cmp,Cp,,,,,
Campus,,,,,,,
Canyon,Canyn,Cnyn,Cyn,,,,
Cape,Cpe,Ca,,,,,
Carfax,,,,,,,
Carré,,,,,,,
Carrefour,Carref,,,,,,
Causeway,Causwa,Cswy,,,,,
Centre,,,,,,,
Center,Cen,Ctr,Cent,Centr,Cntr,Cnter,
Centers,Ctrs,,,,,,
Cercle,,,,,,,
Chase,Ch,,,,,,
Chemin,,,,,,,
Circle,Circ,Circl,Crcl,Crcle,Cir,,
Circles,Cirs,,,,,,
Circus,,,,,,,
Circuit,Cct,,,,,,
Close,Cl,,,,,,
Cliff,Clf,,,,,,
Cliffe,,,,,,,
Cliffs,Clfs,,,,,,
Cliffes,,,,,,,
Club,Clb,,,,,,
Common,Cmn,Cm,,,,,
Commons,Cmns,,,,,,
Concession,Conc,,,,,,
Concourse,Con,,,,,,
Corner,Crn,Cor,,,,,
Corners,Crns,Cors,,,,,
Cottages,,,,,,,
Côte,,,,,,,
Course,Crse,,,,,,
Cour,,,,,,,
Court,Ct,,,,,,
Courts,Cts,,,,,,
Courtyard,,,,,,,
Cove,Cv,,,,,,
Coves,Cvs,,,,,,
Creek,Crk,,,,,,
Crescent,Crsnt,Crsent,Cres,,,,
Crest,Crst,,,,,,
Croft,,,,,,,
Cross,,,,,,,
Crossing,Crssng,Xing,,,,,
Crossroad,Xrd,,,,,,
Cul-de-sac,Cds,,,,,,
Curve,Curv,,,,,,
Dale,Dl,,,,,,
Dam,Dm,,,,,,
Dell,,,,,,,
Dene,,,,,,,
Divide,Dv,Dvd,Div,,,,
Downs,,,,,,,
Drive,Dr,Drv,Driv,,,,
Drives,Drs,,,,,,
Drung,,,,,,,
Échangeur,Éch,,,,,,
Embankment,,,,,,,
End,,,,,,,
Entrance,Ent,,,,,,
Esplanade,Esp,,,,,,
Estate,Est,,,,,,
Estates,Ests,,,,,,
Expressway,Expr,Express,Expw,Expy,Exp,,
Extension,Extn,Extnsn,Ext,,,,
Extensions,Exts,,,,,,
Fall,,,,,,,
Falls,Fls,,,,,,
Farm,,,,,,,
Ferry,Fry,Frry,,,,,
Field,Fld,,,,,,
Fields,Flds,,,,,,
Firetrail,Ftrl,,,,,,
Flat,Flt,,,,,,
Flats,Flts,,,,,,
Ford,Frd,,,,,,
Fords,Frds,,,,,,
Forest,Frst,,,,,,
Forge,Frg,,,,,,
Forges,Frgs,,,,,,
Fork,Frk,,,,,,
Forks,Frks,,,,,,
Fort,Frt,Ft,,,,,
Freeway,Freewy,Frway,Frwy,Fwy,,,
Front,,,,,,,
Gait,,,,,,,
Garden,Gdn,Grdn,Grden,Gardn,Gd,,
Gardens,Gdns,Gds,,,,,
Garth,,,,,,,
Gate,,,,,,,
Gateway,Gatewy,Gtwy,Gtway,Gatway,,,
Glade,Gla,,,,,,
Glen,Gln,,,,,,
Glens,Glns,,,,,,
