StreetSuffix,Abbr1,Abbr2,Abbr3,Abbr4,Abbr5,Abbr6,Abbr7
Apartment,Apt,Apt.,,,,,
Appartement,App,App.,,,,,
Basement,Bsmt,Bsmt.,,,,,
Building,Bldg,Bldg.,,,,,
Bureau,,,,,,,
Department,Dept,Dept.,Dep,Dep.,,,
Flat,Flt,Flt.,,,,,
Floor,F,,,,,,
Front,Frnt,Frnt.,,,,,
Lower,Lowr,Lowr.,Lwr,Lwr.,,,
Office,Ofc,Ofc.,,,,,
Penthouse,PH,,,,,,
Rear,Rr,Rr.,,,,,
Room,Rm,Rm.,,,,,
Space,Spc,Spc.,,,,,
Stairway,,,,,,,
Stairwell,,,,,,,
Suite,Ste,Ste.,,,,,
Trailer,Trlr,Trlr.,,,,,
Unit,Ut,Ut.,,,,,
Unité,,,,,,,
Upper,Uppr,Uppr.,,,,,
Wing,Wg,Wg.,,,,,
